date	company	S_it
2021-05-16	中公教育	1.0
2021-05-16	中公教育	1.0
2021-05-17	中公教育	-1.0
2021-05-17	中公教育	-1.0
2021-05-17	中公教育	0.0
2021-05-18	中公教育	-1.0
2021-05-18	中公教育	-1.0
2021-05-18	中公教育	-1.0
2021-05-19	中公教育	0.0
2021-05-19	中公教育	-1.0
2021-05-19	中公教育	1.0
2021-04-01	欧普康视	-1.0
2021-04-01	欧普康视	-0.5
2021-04-01	欧普康视	-1.0
2021-04-01	欧普康视	-1.0
2021-04-02	欧普康视	-1.0
2021-04-02	欧普康视	0.0
2021-04-02	欧普康视	-1.0
2021-04-02	欧普康视	0.0
2021-04-02	欧普康视	-1.0
2021-04-03	欧普康视	-1.0
2021-04-07	欧普康视	-1.0
2021-04-07	欧普康视	1.0
2021-04-08	欧普康视	0.0
2021-04-08	欧普康视	0.0
2021-04-12	欧普康视	1.0
2021-04-12	欧普康视	-1.0
2021-04-15	欧普康视	-1.0
2021-04-15	欧普康视	-1.0
2021-04-15	欧普康视	0.0
2021-04-19	欧普康视	1.0
2021-04-19	欧普康视	1.0
2021-04-19	欧普康视	1.0
2021-04-19	欧普康视	-1.0
2021-04-19	欧普康视	1.0
2021-04-20	欧普康视	1.0
2021-04-20	欧普康视	0.0
2021-04-20	欧普康视	1.0
2021-04-21	欧普康视	1.0
2021-04-21	欧普康视	1.0
2021-04-21	欧普康视	1.0
2021-04-21	欧普康视	1.0
2021-04-21	欧普康视	1.0
2021-04-23	欧普康视	-1.0
2021-04-24	欧普康视	0.0
2021-04-27	欧普康视	-1.0
2021-04-27	欧普康视	-1.0
2021-04-28	欧普康视	-1.0
2021-04-28	欧普康视	-1.0
2021-04-28	欧普康视	1.0
2021-04-29	欧普康视	1.0
2021-04-30	欧普康视	-1.0
2021-04-30	欧普康视	-1.0
2021-05-06	欧普康视	1.0
2021-05-06	欧普康视	1.0
2021-05-08	欧普康视	1.0
2021-05-08	欧普康视	1.0
2021-05-08	欧普康视	1.0
2021-05-10	欧普康视	-1.0
2021-05-10	欧普康视	1.0
2021-05-11	欧普康视	-1.0
2021-05-13	欧普康视	-1.0
2021-05-13	欧普康视	0.0
2021-05-13	欧普康视	-1.0
2021-05-14	欧普康视	0.0
2021-05-14	欧普康视	1.0
2021-05-17	欧普康视	1.0
2021-05-17	欧普康视	-1.0
2021-05-18	欧普康视	0.0
2021-05-18	欧普康视	-1.0
2021-05-18	欧普康视	-1.0
2021-05-18	欧普康视	1.0
2021-05-19	欧普康视	0.0
2021-05-20	欧普康视	-1.0
2021-05-20	欧普康视	1.0
2021-05-20	欧普康视	0.0
2021-05-20	欧普康视	-1.0
2021-05-20	欧普康视	1.0
2021-05-21	欧普康视	1.0
2021-05-21	欧普康视	-1.0
